sample,area,convex_area,length,depth,width,wdRatio,centroid_x,centroid_y,sturdiness,mass_1_A1,mass_1_A2,mass_1_A_Ratio,mass_1_L1,mass_1_L2,mass_1_L_Ratio,mass_2_A1,mass_2_A2,mass_2_A_Ratio,mass_2_L1,mass_2_L2,mass_2_L_Ratio,mass_3_A1,mass_3_A2,mass_3_A_Ratio,mass_3_L1,mass_3_L2,mass_3_L_Ratio,density_1_1,density_1_2,density_2_1,density_2_2,density_3_1,density_3_2,angle_top_left,angle_top_right,angle_top_all,shape_1,angle_entire_left,angle_entire_right,angle_entire_all,shape_2,Unnamed: 42
797.png,927.6840123577896,7897.901744402308,627.4322289156627,46.38177710843374,325.76807228915663,7.0236220472440944,-511.21,120.49,0.0145067044955584,927.5172886576427,0.0,0.0,627.4322289156627,0.0,0.0,927.5172886576427,0.0,0.0,627.4322289156627,0.0,0.0,0.0,927.6840123577896,0.0,0.0,627.4322289156627,0.0,68.92927823050059,0.0,68.92927823050059,0.0,,68.9336437718277,87.01232570021901,-63.8860873697093,150.89841306992832,59.40882404327887,87.0312494662113,-66.84911620264845,153.88036566885975,60.58282112947234,
798.png,925.1498121155556,37491.85869159053,778.0817018072289,118.1457078313253,503.9909638554217,4.265842349304482,653.9,383.72,0.0037896744046226,924.9497436753792,0.0,0.0,778.0817018072289,0.0,0.0,924.9497436753792,0.0,0.0,778.0817018072289,0.0,0.0,0.0,925.1498121155556,0.0,0.0,778.0817018072289,0.0,263.8720957521709,0.0,263.8720957521709,0.0,,263.87491199249,76.8490513190553,-79.58397169242929,156.43302301148458,24.178210666380924,67.02767058793292,-73.55778601542822,140.58545660336114,21.72881864039585,
799.png,761.8272754515804,94540.87423678147,603.5109186746988,398.44503012048193,749.5952560240963,1.881301558203483,-430.21,236.58,0.0011656795717917,752.6908166835262,9.069769287995355,0.0120497940016834,581.9634789156627,21.364834337349397,0.036711641041732,752.6908166835262,9.069769287995355,0.0120497940016834,581.9634789156627,21.364834337349397,0.036711641041732,0.0,761.8272754515804,0.0,0.0,603.5109186746988,0.0,448.524631314716,12015.358974358976,794.2893002823972,2596.965811965812,,857.8686838124055,86.49789422634267,-44.42127443439224,130.9191686607349,5.99996190012534,62.49867643829434,-36.63886752894855,99.13754396724288,4.543425479708657,
800.png,548.0208023831017,9267.27018318946,432.5922439759036,66.10316265060241,235.5609939759036,3.56353591160221,-383.2,194.6,0.0085239436822429,547.8207339429254,0.0,0.0,432.5922439759036,0.0,0.0,547.8207339429254,0.0,0.0,432.5922439759036,0.0,0.0,0.0,548.0208023831017,0.0,0.0,432.5922439759036,0.0,117.31067961165049,0.0,117.31067961165049,0.0,,117.31658927817644,84.77723957347008,-16.69924423399362,101.47648380746372,28.032177847365663,81.87633031444987,-13.654785858284326,95.5311161727342,26.389811097440383,
801.png,559.1579455529195,177726.96418557325,455.7831325301205,415.97515060240966,768.2210090361446,1.8467954345917472,512.75,155.56,0.0004682940008273,555.9568505100976,3.1344055627631007,0.0056378576141066,448.29631024096386,7.486822289156627,0.0167006109979633,555.9568505100976,3.1344055627631007,0.0056378576141066,448.29631024096386,7.486822289156627,0.0167006109979633,0.0,559.1579455529195,0.0,0.0,455.7831325301205,0.0,1165.2448065173116,60225.48780487805,1953.386965376782,13033.073170731708,,2135.410657051282,86.47204988915345,-87.14614213029124,173.61819201944468,7.621518525875535,53.92244659502448,-78.14325272260476,132.06569931762922,5.797440707534206,
802.png,901.5750809147736,13341.56393316111,711.0655120481928,52.95557228915663,452.49623493975906,8.544827586206896,70.33,110.81,0.0097323236110069,901.5417361747442,0.0,0.0,710.882906626506,0.0,0.0,901.5417361747442,0.0,0.0,710.882906626506,0.0,0.0,0.0,901.5750809147736,0.0,0.0,711.0655120481928,0.0,102.7724120215772,0.0,102.7724120215772,0.0,,102.75038520801232,86.34622663163113,-85.36702997052444,171.71325660215558,59.21146779384676,79.48239757704414,-84.89989367316605,164.3822912502102,56.68354870696903,
803.png,539.9180305559588,12380.335112333747,422.0011295180723,79.43335843373494,279.38629518072287,3.5172413793103448,934.42,128.64,0.0062243625482448,539.4512041955472,0.0,0.0,422.0011295180723,0.0,0.0,539.4512041955472,0.0,0.0,422.0011295180723,0.0,0.0,0.0,539.9180305559588,0.0,0.0,422.0011295180723,0.0,160.63479013414107,0.0,160.63479013414107,0.0,,160.65902206836867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
804.png,335.2813609955636,4934.254595329738,265.6908885542169,51.3121234939759,184.9792921686747,3.604982206405694,-334.86,98.0,0.0098326091216878,335.2146715155048,0.0,0.0,265.6908885542169,0.0,0.0,335.2146715155048,0.0,0.0,265.6908885542169,0.0,0.0,0.0,335.2813609955636,0.0,0.0,265.6908885542169,0.0,101.69690721649484,0.0,101.69690721649484,0.0,,101.7024054982818,83.84961847149519,-35.753887254436755,119.60350572593194,42.5635251693708,83.55556314826124,-33.326289687115214,116.88185283537646,41.59496542184216,
805.png,492.1350180938362,102387.52511575859,449.5745481927711,308.2379518072289,745.9431475903615,2.4200236966824646,-107.51,1037.35,0.0008018042223362,75.89262830690231,415.04197914587564,5.468804920913884,82.90286144578313,366.671686746988,4.422907488986784,490.934607452778,0.0,0.0,449.5745481927711,0.0,0.0,490.934607452778,0.0,0.0,449.5745481927711,0.0,0.0,3543.5594713656387,0.0,1247.1543460601138,0.0,1247.1543460601138,0.0,79.39330170677937,-72.74734783317875,152.14064953995813,9.01307165521079,56.33206721485958,-61.74360953377421,118.07567674863378,6.99500454672001,
806.png,516.9101599356765,64044.80869283799,439.1660391566265,152.29292168674698,820.0809487951807,5.384892086330935,3219.07,291.23,0.0012521561295515,516.4433335752649,0.0,0.0,437.88780120481925,0.0,0.0,516.4433335752649,0.0,0.0,437.88780120481925,0.0,0.0,0.0,516.9101599356765,0.0,0.0,439.1660391566265,0.0,800.9332777314429,0.0,800.9332777314429,0.0,,798.6224532224533,78.46537934635528,-88.58067246773783,167.04605181409312,20.02950261559869,86.72951207681645,-87.81510257808485,174.5446146549013,20.928610869892243,
807.png,1199.510333077415,143255.0385642249,843.4544427710844,362.4717620481928,897.1404367469879,2.4750629722921915,1322.06,1673.04,0.0010751409216697,0.43348162038213095,1198.9768172369447,2765.923076923077,1.095632530120482,841.8109939759037,768.3333333333334,1161.23057152367,38.17972733365691,0.0328786791098348,810.4028614457832,32.503765060240966,0.0401081568273997,1199.410298857327,0.0,0.0,842.906626506024,0.0,0.0,299389.1666666667,14044.056179775282,945.4409643983776,563.5393258426966,930.7142547660312,0.0,72.94668523129906,-50.1944289077348,123.14111413903386,6.203582576273746,72.71729364649407,-49.5291239433739,122.24641758986796,6.158509702260352,
808.png,1168.566414330137,59257.00419571736,902.4359939759037,220.22213855421685,464.9134036144578,2.111111111111111,1283.65,928.74,0.0027809321018152,211.4056517863623,957.0940730637157,4.527287066246057,212.91792168674698,689.3354668674699,3.237564322469983,1168.499724850078,0.0,0.0,902.2533885542168,0.0,0.0,1168.499724850078,0.0,0.0,902.2533885542168,0.0,0.0,1129.8233276157805,0.0,359.6567496458207,0.0,359.6567496458207,0.0,72.84757825978816,-77.19573393471325,150.04331219450142,12.441402337852525,30.963756532073525,-63.49384458375766,94.45760111583118,7.832305233485173,
809.png,495.73625001701083,58385.93955192948,360.6457078313253,221.50037650602408,512.5734186746988,2.3140972794723824,-358.25,287.63,0.0011279404264699,494.569184115982,1.1003764209700246,0.0022249190938511,357.17620481927713,3.4695030120481927,0.0097137014314928,495.669560536952,0.0,0.0,360.6457078313253,0.0,0.0,0.0,495.73625001701083,0.0,0.0,360.6457078313253,0.0,828.0460122699386,0.0,886.5625316455696,0.0,,886.5716455696203,87.97196000838699,-60.94539590092285,148.91735590930983,12.276781196150852,88.08581396801988,-55.89028110206844,143.97609507008832,11.869422511961115,
810.png,8.40287448740746,19948.257309405166,15.521460843373495,514.582078313253,241.95218373493975,0.4701916252661462,-115.87,145.5,0.0001420827322676,7.869358646937147,0.10003422008818406,0.0127118644067796,14.973644578313253,0.547816265060241,0.0365853658536585,7.869358646937147,0.10003422008818406,0.0127118644067796,14.973644578313253,0.547816265060241,0.0365853658536585,7.869358646937147,0.10003422008818406,0.0127118644067796,14.973644578313253,0.547816265060241,0.0365853658536585,2865.5975609756097,121081.0,6030.524390243902,34573.0,7274.634146341464,567.3333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
811.png,407.4060336791443,10194.687437627013,313.71611445783134,43.09487951807229,482.9913403614458,11.207627118644067,1818.31,189.32,0.0056192270455556,407.2059652389679,0.0,0.0,313.71611445783134,0.0,0.0,407.2059652389679,0.0,0.0,313.71611445783134,0.0,0.0,0.0,407.4060336791443,0.0,0.0,313.71611445783134,0.0,177.9406286379511,0.0,177.9406286379511,0.0,,177.9604190919674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
812.png,1061.4297646156917,36523.79419905715,766.3949548192771,118.87612951807229,521.155873493976,4.384024577572965,300.66,287.08,0.0038316904629525,1061.296385655574,0.0,0.0,765.6645331325301,0.0,0.0,1061.296385655574,0.0,0.0,765.6645331325301,0.0,0.0,0.0,1061.4297646156917,0.0,0.0,766.3949548192771,0.0,261.2003338898164,0.0,261.2003338898164,0.0,,260.9814152966405,86.92584379439882,-83.99099404250549,170.9168378369043,26.254506580169632,67.320953952069,-81.17756950669023,148.49852345875922,22.8108330965836,
813.png,742.7207394147373,51421.85725205037,574.2940512048193,301.66415662650604,457.0613704819277,1.515133171912833,1789.27,1530.37,0.002039389726404,1.06703168094063,741.6203629937672,695.03125,2.191265060240964,571.9201807228916,261.0,742.6873946747079,0.0,0.0,574.1114457831326,0.0,0.0,742.6873946747079,0.0,0.0,574.1114457831326,0.0,0.0,41965.16666666666,0.0,490.4984096692112,0.0,490.4984096692112,0.0,0.7161599454704085,-58.626994859891546,59.34315480536196,3.5922006540776,0.4476141708605531,-58.73746347410586,59.18507764496641,3.582631818702567,
814.png,272.09307863986066,226578.90897881813,226.24811746987953,430.4009789156627,820.628765060241,1.906661009758167,3035.05,540.81,0.0001823388288107,268.69191515686236,2.8343029024985484,0.010548523206751,221.1351656626506,5.1129518072289155,0.0231213872832369,268.69191515686236,2.8343029024985484,0.010548523206751,221.1351656626506,5.1129518072289155,0.0231213872832369,0.0,272.09307863986066,0.0,0.0,226.24811746987953,0.0,2205.327828241123,147298.5357142857,4647.981833195706,41653.75,,5484.295399515739,80.34816653319577,-81.56070798064222,161.908874513838,6.869277662869664,87.59868074402746,-81.49066388652123,169.08934463054868,7.173922131122134,
815.png,354.18782859223035,148348.08081157462,257.65625,331.6114457831325,883.2624246987951,2.663546255506608,455.94,1765.09,0.0003171556242863,0.8002737607054725,353.3542100914955,441.5416666666667,1.4608433734939759,256.01280120481925,175.25,346.71860682564596,7.435877026555016,0.021446432006155,248.52597891566265,8.947665662650602,0.0360029390154298,354.154483852201,0.0,0.0,257.47364457831327,0.0,0.0,142754.75,67487.3469387755,3261.8912564290963,193.55102040816325,3155.260992907801,0.0,64.95379922035721,-34.992020198558656,99.94581941891587,5.503624417341182,64.6969648526797,-34.91612604913912,99.61309090181882,5.485302362434957,
816.png,193.19942373031282,698.1388219954366,169.09262048192772,12.417168674698795,167.44917168674698,13.485294117647058,464.49,30.46,0.0442279218608205,192.93266581007765,0.0,0.0,168.54480421686748,0.0,0.0,192.93266581007765,0.0,0.0,168.54480421686748,0.0,0.0,0.0,193.19942373031282,0.0,0.0,169.09262048192772,0.0,22.630552546045504,0.0,22.630552546045504,0.0,,22.610151187904968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
817.png,576.3638314080872,3441.2438605135903,335.99397590361446,43.277484939759034,285.41227409638554,6.594936708860759,805.06,115.18,0.0178291118389178,576.2304524479696,0.0,0.0,335.99397590361446,0.0,0.0,576.2304524479696,0.0,0.0,335.99397590361446,0.0,0.0,0.0,576.3638314080872,0.0,0.0,335.99397590361446,0.0,56.08097826086957,0.0,56.08097826086957,0.0,,56.08804347826087,67.65935204000587,-82.65699188299318,150.31634392299907,63.42461768902915,78.04812486997523,-82.45010249936617,160.4982273693414,67.72077104191621,
818.png,552.7224107272464,18380.95449380353,424.92281626506025,69.39006024096386,464.7307981927711,6.697368421052632,-525.14,90.43,0.0042213917712792,552.689065987217,0.0,0.0,424.7402108433735,0.0,0.0,552.689065987217,0.0,0.0,424.7402108433735,0.0,0.0,0.0,552.7224107272464,0.0,0.0,424.92281626506025,0.0,236.93508168529664,0.0,236.93508168529664,0.0,,236.8886978942845,88.64510172284386,-48.3664606634298,137.01156238627365,36.05567431217728,89.7466842973765,-46.023030188667846,135.76971448604434,35.72887223316956,
819.png,252.85316364289991,45970.99259944522,243.41302710843374,365.94126506024094,390.41039156626505,1.06686626746507,-294.02,1010.62,0.0009668822869776,1.2337553810876034,251.5860635217829,203.9189189189189,3.6521084337349397,239.57831325301206,65.6,252.45302676254718,0.36679214032334156,0.0014529124290054,241.76957831325302,1.4608433734939759,0.0060422960725075,252.8198189028705,0.0,0.0,243.23042168674698,0.0,0.0,27693.2,103098.75,1015.8783987915408,4203.875,1035.0255255255256,0.0,71.44976807407227,-10.203973721731684,81.65374179580395,4.074538013762672,44.26120788693763,-10.89872580575286,55.159933692690494,2.7524917012320604,
820.png,374.5614647501905,8975.703776372433,301.66415662650604,61.90323795180723,267.15173192771084,4.315634218289086,809.4,59.04,0.0061371800920577,374.3280515699848,0.0,0.0,301.66415662650604,0.0,0.0,374.3280515699848,0.0,0.0,301.66415662650604,0.0,0.0,0.0,374.5614647501905,0.0,0.0,301.66415662650604,0.0,162.84866828087166,0.0,162.84866828087166,0.0,,162.9412832929782,11.309932474020217,-85.72575081267283,97.03568328669304,28.624095364806205,75.06858282186246,-89.80215624380838,164.87073906567085,48.63443630255777,
